format;open;closed;all
txt;9;10;19
pdf;4;10;14
doc/x;3;10;13
rtf;3;9;12
jpg;3;8;11
mp3;3;8;11
png;2;9;11
mp4;2;7;9
undisclosed;2;7;9
csv;5;3;8
wav;2;6;8
xls/x;1;7;8
gif;1;6;7
jpeg;1;4;5
mov;1;4;5
odt;3;2;5
avi;0;4;4
bmp;0;4;4
vlc;4;0;4
html;1;2;3
m4a;0;3;3
md;3;0;3
tif;0;3;3
tiff;0;3;3
wmv;1;2;3
youtube;1;2;3
3gp;0;2;2
aiff;1;1;2
epub;2;0;2
htm;1;1;2
mobi;1;1;2
mpg;0;2;2
msg;0;2;2
pandoc;2;0;2
quicktime-player;0;2;2
Social-Media;0;2;2
unknown;2;0;2
windows-media-player;0;2;2
wma;0;2;2
3g2;0;1;1
3gp2;0;1;1
3gpp;0;1;1
aac;0;1;1
Acces/Stata;0;1;1
asf;0;1;1
Bibtext;0;1;1
dailymotion;1;0;1
dropbox;0;1;1
eaf;1;0;1
Email;0;1;1
eml;0;1;1
facebook;1;0;1
fractiva;0;1;1
GeoData;0;1;1
Graphics;0;1;1
lexis/nexis;0;1;1
m2ts;0;1;1
m4v;0;1;1
mts;0;1;1
ODBC;0;1;1
odg;0;1;1
odp;0;1;1
ods;0;1;1
ogg;0;1;1
ooxml;0;1;1
pict;0;1;1
ppt/x;0;1;1
Ris;1;0;1
ris;0;1;1
rls;0;1;1
rqda-project;1;0;1
rtfd;1;0;1
sav;0;1;1
sht;1;0;1
soundcloud;1;0;1
spss;0;1;1
SPSS;0;1;1
sql;1;0;1
sqlite3;1;0;1
srt;0;1;1
surveymonkey;0;1;1
svg;0;1;1
tab;0;1;1
tbt;1;0;1
textgrid;1;0;1
triple-s;0;1;1
vimeo;1;0;1
vsd/x;0;1;1
Web-Surveys;0;1;1
webm;0;1;1
wmf;0;1;1
wpd;0;1;1
